Year,Month,Day,Water Temperature,Tank,Spawn
2018,1,1,28.3,MAT 2,
2018,1,2,28.5,MAT 2,
2018,1,3,28.2,MAT 2,
2018,1,4,24,MAT 2,1
2018,1,5,21.4,MAT 2,1
2018,1,6,21.7,MAT 2,
2018,1,7,23.0,MAT 2,1
2018,1,8,25.5,MAT 2,
2018,1,9,27.70,MAT 2,
2018,1,10,27.2,MAT 2,
2018,1,11,26.8,MAT 2,
2018,1,12,27.6,MAT 2,
2018,1,13,28.8,MAT 2,
2018,1,14,25.1,MAT 2,
2018,1,15,25.3,MAT 2,
2018,1,16,26.5,MAT 2,
2018,1,17,27.5,MAT 1,
2018,1,18,24.5,MAT 1,
2018,1,19,24.0,MAT 1,
2018,1,20,25.0,MAT 1,
2018,1,21,24.3,MAT 1,
2018,1,22,25.7,MAT 1,
2018,1,23,26.0,MAT 1,
2018,1,24,25.6,MAT 1,
2018,1,25,26.9,MAT 1,
2018,1,26,26.5,MAT 1,
2018,1,27,24.8,MAT 1,
2018,1,28,25.7,MAT 1,
2018,1,29,24.8,MAT 1,
2018,1,30,23.8,MAT 1,
2018,1,31,23.3,MAT 1,
2018,2,1,23.5,MAT 1,
2018,2,2,21.6,MAT 1,
2018,2,3,21.1,MAT 1,
2018,2,4,21.6,MAT 1,
2018,2,5,22.2,MAT 1,
2018,2,6,22.0,MAT 1,
2018,2,7,22.7,MAT 1,
2018,2,8,22.3,MAT 1,
2018,2,9,22.60,MAT 1,
2018,2,10,22.8,MAT 1,
2018,2,11,23.2,MAT 1,
2018,2,12,23.5,MAT 1,
2018,2,13,23.0,MAT 1,
2018,2,14,22.6,MAT 1,
2018,2,15,21.8,MAT 1,
2018,2,16,21.8,MAT 1,
2018,2,17,22.0,MAT 1,
2018,2,18,22.1,MAT 1,
2018,2,19,22.2,MAT 1,
2018,2,20,22.5,MAT 1,
2018,2,21,23.0,MAT 1,
2018,2,22,23.3,MAT 1,
2018,2,23,,,
2018,2,24,,,
2018,2,25,,,
2018,2,26,,,
2018,2,27,,,
2018,2,28,,,
2018,3,1,25.2,MAT 4,
2018,3,2,25.2,MAT 4,
2018,3,3,22.9,MAT 4,
2018,3,4,20.8,MAT 4,
2018,3,5,21.1,MAT 4,
2018,3,6,21.5,MAT 4,
2018,3,7,21.4,MAT 4,
2018,3,8,21.0,MAT 4,
2018,3,9,18.4,MAT 4,
2018,3,10,20.7,MAT 4,
2018,3,11,21.2,MAT 4,
2018,3,12,21.9,MAT 4,
2018,3,13,20.2,MAT 4,
2018,3,14,20.3,MAT 4,
2018,3,15,19.0,MAT 4,
2018,3,16,21.0,MAT 4,
2018,3,17,20.3,MAT 4,
2018,3,18,21.1,MAT 4,
2018,3,19,21.3,MAT 4,
2018,3,20,20.9,MAT 4,
2018,3,21,20.5,MAT 4,
2018,3,22,19.2,MAT 4,
2018,3,23,18.0,MAT 4,
2018,3,24,19.6,MAT 4,
2018,3,25,19.8,MAT 4,
2018,3,26,20.3,MAT 4,
2018,3,27,20.4,MAT 4,
2018,3,28,19.7,MAT 4,
2018,3,29,19.8,MAT 4,
2018,3,30,20.2,MAT 4,
2018,3,31,19.7,MAT 4,
2018,4,1,20.8,MAT 4,
2018,4,2,20.3,MAT 4,
2018,4,3,21.0,MAT 4,
2018,4,4,21.3,MAT 4,
2018,4,5,21.6,MAT 4,
2018,4,6,21.3,MAT 4,
2018,4,7,21.7,MAT 4,
2018,4,8,20.9,MAT 4,
2018,4,9,20.8,MAT 4,
2018,4,10,20.2,MAT 4,
2018,4,11,19.5,MAT 4,
2018,4,12,19.0,MAT 4,
2018,4,13,19.2,MAT 4,
2018,4,14,19.8,MAT 4,
2018,4,15,21.6,MAT 4,
2018,4,16,21.6,MAT 4,
2018,4,17,20.2,MAT 4,
2018,4,18,20.9,MAT 4,
2018,4,19,21.1,MAT 4,
2018,4,20,22.1,MAT 4,
2018,4,21,21.4,MAT 4,
2018,4,22,21.3,MAT 4,
2018,4,23,21.4,MAT 4,
2018,4,24,20.8,MAT 4,
2018,4,25,21.4,MAT 4,
2018,4,26,20.9,MAT 4,
2018,4,27,20.8,MAT 4,
2018,4,28,20.3,MAT 4,
2018,4,29,20.5,MAT 4,
2018,4,30,20.6,MAT 4,
2018,5,1,21.1,MAT 4,
2018,5,2,21.8,MAT 4,
2018,5,3,21.7,MAT 4,
2018,5,4,22.0,MAT 4,
2018,5,5,22.1,MAT 4,
2018,5,6,22.5,MAT 4,
2018,5,7,22.4,MAT 4,
2018,5,8,23.2,MAT 4,
2018,5,9,22.9,MAT 4,
2018,5,10,22.1,MAT 4,
2018,5,11,22.0,MAT 4,
2018,5,12,22.3,MAT 4,
2018,5,13,22.1,MAT 4,
2018,5,14,21.9,MAT 4,
2018,5,15,22.6,MAT 4,
2018,5,16,23.4,MAT 4,
2018,5,17,22.8,MAT 4,
2018,5,18,23.6,MAT 4,
2018,5,19,23.5,MAT 4,
2018,5,20,22.4,MAT 4,
2018,5,21,23.4,MAT 4,
2018,5,22,21.5,MAT 4,
2018,5,23,23.8,MAT 4,
2018,5,24,,MAT 4,
2018,5,25,27.1,MAT 4,
2018,5,26,26.6,MAT 4,
2018,5,27,25.6,MAT 4,
2018,5,28,25.8,MAT 4,
2018,5,29,26.0,MAT 4,
2018,5,30,26.6,MAT 4,
2018,5,31,27.4,MAT 4,
2018,6,1,27.2,MAT 4,
2018,6,2,27.4,MAT 4,
2018,6,3,28.4,MAT 4,
2018,6,4,29.0,MAT 4,
2018,6,5,29.2,MAT 4,
2018,6,6,28.9,MAT 4,
2018,6,7,29.1,MAT 4,
2018,6,8,28.7,MAT 4,
2018,6,9,28.5,MAT 4,
2018,6,10,28.8,MAT 4,
2018,6,11,28.8,MAT 4,
2018,6,12,28.6,MAT 4,
2018,6,13,28.7,MAT 4,
2018,6,14,28.8,MAT 4,
2018,6,15,28.7,MAT 4,
2018,6,16,29.1,MAT 4,
2018,6,17,29.3,MAT 4,
2018,6,18,29.9,MAT 4,
2018,6,19,30.2,MAT 4,
2018,6,20,29.7,MAT 4,
2018,6,21,29.9,MAT 4,
2018,6,22,30.1,MAT 4,
2018,6,23,29.9,MAT 4,
2018,6,24,30.2,MAT 4,
2018,6,25,30.5,MAT 4,
2018,6,26,30.5,MAT 4,
2018,6,27,30.6,MAT 4,
2018,6,28,30.8,MAT 4,
2018,6,29,30.1,MAT 4,
2018,6,30,30.3,MAT 4,
2018,7,1,30.4,MAT 4,
2018,7,2,29.7,MAT 4,
2018,7,3,30.8,MAT 4,
2018,7,4,30.2,MAT 4,
2018,7,5,30.5,MAT 4,
2018,7,6,30.2,MAT 4,
2018,7,7,30.6,MAT 4,
2018,7,8,31.2,MAT 4,
2018,7,9,31.4,MAT 4,
2018,7,10,31.5,MAT 4,
2018,7,11,30.4,MAT 4,
2018,7,12,30.8,MAT 4,
2018,7,13,30.9,MAT 4,
2018,7,14,30.7,MAT 4,
2018,7,15,31.0,MAT 4,
2018,7,16,31.3,MAT 4,
2018,7,17,31.0,MAT 4,
2018,7,18,31.3,MAT 4,
2018,7,19,31.4,MAT 4,
2018,7,20,31.5,MAT 4,
2018,7,21,31.2,MAT 4,
2018,7,22,31.3,MAT 4,
2018,7,23,31.0,MAT 4,
2018,7,24,30.2,MAT 4,
2018,7,25,29.9,MAT 4,
2018,7,26,30.2,MAT 4,
2018,7,27,30.7,MAT 4,
2018,7,28,30.7,MAT 4,
2018,7,29,30.3,MAT 4,
2018,7,30,29.6,MAT 4,
2018,7,31,,,
2018,8,1,,,
2018,8,2,,,
2018,8,3,,,
2018,8,4,30.3,MAT 2,
2018,8,5,30.4,MAT 2,
2018,8,6,30.2,MAT 2,
2018,8,7,30.1,MAT 2,
2018,8,8,30.4,MAT 2,
2018,8,9,30.7,MAT 2,
2018,8,10,30.8,MAT 2,
2018,8,11,30.1,MAT 2,
2018,8,12,30.1,MAT 2,
2018,8,13,30.3,MAT 2,
2018,8,14,27.6,MAT 2,
2018,8,15,30.8,MAT 2,
2018,8,16,30.8,MAT 2,
2018,8,17,30.9,MAT 2,
2018,8,18,30.9,MAT 2,
2018,8,19,30.9,MAT 2,
2018,8,20,30.8,MAT 2,
